elevation,utm_x_norm,utm_y_norm,longx_norm,longy_norm
205.596,218.056,-27.8301,0.0030832,-0.000245697
205.61,220.532,-29.5235,0.00311822,-0.000260647
205.592,222.504,-31.074,0.0031461,-0.000274335
205.619,224.733,-33.0503,0.00317762,-0.000291783
205.631,226.981,-35.0417,0.00320941,-0.000309364
205.654,229.186,-37.0173,0.00324057,-0.000326805
205.633,231.389,-39.0228,0.00327173,-0.000344511
205.679,233.548,-41.0207,0.00330226,-0.000362149
205.657,235.729,-43.0765,0.00333309,-0.000380298
205.699,237.866,-45.11,0.00336331,-0.000398251
205.72,239.963,-47.1677,0.00339296,-0.000416417
205.717,242.011,-49.2512,0.00342192,-0.000434812
205.719,244.013,-51.3708,0.00345022,-0.000453525
205.746,245.961,-53.5259,0.00347777,-0.000472551
205.764,247.791,-55.6897,0.00350365,-0.000491654
205.776,249.529,-57.9239,0.00352822,-0.000511378
205.786,251.114,-60.1938,0.00355063,-0.000531418
205.808,252.566,-62.5554,0.00357116,-0.000552268
205.792,253.904,-65.0104,0.00359007,-0.000573941
205.809,255.088,-67.492,0.00360682,-0.00059585
205.839,256.124,-70.0822,0.00362148,-0.000618717
205.847,257.013,-72.6882,0.00363404,-0.000641725
205.854,257.744,-75.3484,0.00364437,-0.000665209
205.871,258.274,-77.9981,0.00365186,-0.000688603
205.917,258.641,-80.7303,0.00365707,-0.000712724
205.95,258.819,-83.4391,0.00365957,-0.000736639
205.988,258.815,-86.1702,0.00365952,-0.00076075
206.016,258.619,-88.8858,0.00365674,-0.000784724
206.03,258.242,-91.6126,0.00365142,-0.000808797
206.067,257.698,-94.2534,0.00364372,-0.000832112
206.081,256.945,-96.8622,0.00363307,-0.000855143
206.11,256.018,-99.4037,0.00361997,-0.000877581
206.159,254.899,-101.881,0.00360416,-0.000899453
206.152,253.622,-104.25,0.00358609,-0.000920369
206.183,252.163,-106.517,0.00356546,-0.000940382
206.22,250.581,-108.563,0.00354309,-0.000958447
206.238,248.816,-110.397,0.00351814,-0.000974632
206.286,246.901,-111.937,0.00349106,-0.000988232
206.28,244.782,-113.234,0.0034611,-0.000999685
206.318,242.592,-114.175,0.00343013,-0.00100799
206.32,240.292,-114.764,0.00339761,-0.00101319
206.385,237.852,-115.02,0.00336312,-0.00101545
206.425,235.339,-114.943,0.00332758,-0.00101477
206.396,232.875,-114.579,0.00329274,-0.00101156
206.392,230.424,-113.891,0.00325808,-0.00100548
206.289,173.115,-97.2596,0.00244777,-0.000858651
206.289,173.115,-97.2596,0.00244777,-0.000858651
206.264,170.32,-96.3771,0.00240825,-0.000850861
206.268,167.515,-95.5502,0.00236858,-0.00084356
206.247,164.676,-94.7582,0.00232845,-0.000836568
206.247,161.834,-94.0149,0.00228826,-0.000830007
206.239,158.966,-93.2965,0.0022477,-0.000823664
