utm_x,utm_y
161.029,16.326
163.523,14.658
166.014,12.9859
168.497,11.3029
170.981,9.61997
173.449,7.91477
175.903,6.18887
178.356,4.46297
180.81,2.73707
183.264,1.01117
185.718,-0.714729
188.172,-2.44063
190.626,-4.16653
193.079,-5.89243
195.55,-7.59473
198.026,-9.28803
200.502,-10.9814
202.979,-12.6747
205.455,-14.3681
207.932,-16.0614
210.408,-17.7548
212.884,-19.4481
215.361,-21.1415
217.837,-22.8348
220.314,-24.5282
222.79,-26.2216
225.146,-28.0704
227.391,-30.0605
229.636,-32.0499
231.87,-34.0521
234.089,-36.0714
236.291,-38.1088
238.474,-40.1668
240.647,-42.235
242.788,-44.336
244.891,-46.4754
246.951,-48.6565
248.963,-50.8819
250.9,-53.1723
252.741,-55.5404
254.458,-57.9992
256.029,-60.5544
257.464,-63.1883
258.755,-65.8956
259.871,-68.6802
260.838,-71.519
261.633,-74.4115
262.221,-77.352
262.621,-80.3248
262.817,-83.3175
262.812,-86.3166
262.596,-89.308
262.186,-92.279
261.58,-95.2162
260.749,-98.0978
259.721,-100.915
258.488,-103.649
257.064,-106.288
255.44,-108.81
253.606,-111.181
251.525,-113.34
249.19,-115.218
246.633,-116.78
243.88,-117.962
240.979,-118.705
237.997,-119.017
235.002,-118.929
232.037,-118.49
229.149,-117.683
226.334,-116.65
223.598,-115.419
220.912,-114.084
218.253,-112.694
215.598,-111.299
212.938,-109.911
210.266,-108.548
207.589,-107.192
204.906,-105.851
202.201,-104.554
199.487,-103.274
196.755,-102.036
194,-100.848
191.232,-99.6916
188.45,-98.5692
185.654,-97.4817
182.848,-96.4189
180.027,-95.3994
177.197,-94.403
174.351,-93.4552
171.49,-92.552
168.613,-91.7037
165.723,-90.8976
162.821,-90.1385
159.911,-89.4097
156.991,-88.7223
154.063,-88.0658
151.128,-87.4479
148.186,-86.8622
145.236,-86.3168
142.279,-85.8063
139.316,-85.3423
136.347,-84.9102
133.371,-84.5268
130.392,-84.1732
127.409,-83.8569
124.424,-83.5617
121.439,-83.2633
118.453,-82.9748
115.466,-82.6948
112.479,-82.414
109.493,-82.1248
106.506,-81.8427
103.519,-81.5693
100.529,-81.314
97.5373,-81.0981
94.5438,-80.9013
91.5488,-80.7283
88.5531,-80.5678
85.5575,-80.4059
82.5614,-80.2517
79.5651,-80.103
76.5686,-79.9583
73.5721,-79.814
