"date","area_living","area_land","price"
"2020-09-16",30,0,120000
"2020-08-05",67,0,176000
"2020-01-06",56,2168,125000
"2020-01-06",56,2168,125000
"2020-05-19",32,891,13000
"2020-05-19",32,891,13000
"2020-01-17",107,3004,135000
"2020-01-17",107,3004,135000
"2020-12-22",73,0,203500
"2020-07-03",44,0,163000
"2020-07-03",44,0,163000
"2020-09-17",47,0,201300
"2020-05-25",138,657,186000
"2020-01-30",100,238,224730
"2020-01-30",100,238,224730
"2020-01-30",100,238,224730
"2020-01-30",100,238,224730
"2020-02-27",119,469,190000
"2020-03-06",82,495,125000
"2020-12-23",47,2353,256500
"2020-12-23",47,2353,256500
"2020-01-03",56,0,125000
"2020-07-24",64,0,285037
"2020-07-24",64,0,285037
"2020-12-23",86,273,180000
"2020-12-23",86,273,180000
"2020-12-23",86,273,180000
"2020-12-23",86,273,180000
"2020-12-23",86,273,180000
"2020-05-18",83,187,215000
"2020-05-18",83,187,215000
"2020-03-04",187,2176,461000
"2020-03-04",187,2176,461000
"2020-08-03",76,0,2e+05
"2020-08-03",76,0,2e+05
"2020-07-10",140,625,250000
"2020-08-26",27,0,98000
"2020-08-26",27,0,98000
"2020-08-04",66,0,138000
"2020-02-25",27,0,116000
"2020-11-05",61,0,156000
"2020-11-05",61,0,156000
"2020-05-27",118,0,545205
"2020-02-21",88,615,380000
"2020-02-21",88,615,380000
"2020-02-14",90,607,146000
"2020-08-03",63,0,102000
"2020-10-16",110,470,115000
"2020-03-04",54,40,39990
"2020-04-20",87,12540,125000
"2020-10-09",115,11805,220000
"2020-10-09",115,11805,220000
"2020-10-09",115,11805,220000
"2020-10-09",115,11805,220000
"2020-10-09",115,11805,220000
"2020-10-09",115,11805,220000
"2020-04-09",101,649,265000
"2020-12-01",73,630,109000
"2020-09-29",110,507,385000
"2020-11-12",88,292,450000
"2020-07-01",157,3000,210000
"2020-08-26",123,363,150000
"2020-11-27",98,419,246000
"2020-09-14",47,410,110000
"2020-11-25",94,534,2e+05
"2020-11-25",136,440,890000
"2020-11-19",94,420,94000
"2020-06-12",34,0,32000
"2020-05-15",80,269,264250
"2020-04-30",100,612,217500
"2020-03-02",48,0,110000
"2020-03-02",48,0,110000
"2020-07-31",57,0,43000
"2020-08-24",76,0,245000
"2020-09-11",88,336,350000
"2020-06-26",33,0,165500
"2020-02-12",87,1684,170000
"2020-11-24",59,62,39000
"2020-01-30",116,477,282332
"2020-04-30",176,2787,225000
"2020-01-27",95,0,375000
"2020-01-27",95,0,375000
"2020-11-10",33,1374,2e+05
"2020-11-10",33,1374,2e+05
"2020-11-10",33,1374,2e+05
"2020-11-10",33,1374,2e+05
"2020-06-22",154,573,324000
"2020-10-16",80,384,292300
"2020-01-15",150,365,433500
"2020-01-15",150,365,433500
"2020-07-30",129,358,420000
"2020-10-08",46,0,135000
"2020-02-04",123,602,148500
"2020-08-13",107,571,245000
"2020-09-28",130,0,5000
"2020-01-24",120,1199,470000
"2020-01-24",120,1199,470000
"2020-01-24",120,1199,470000
"2020-05-14",130,512,370000
"2020-01-20",85,0,145000
"2020-01-20",85,0,145000
"2020-08-27",118,1618,320000
"2020-08-27",118,1618,320000
"2020-05-18",70,2330,115000
"2020-05-18",70,2330,115000
"2020-05-18",70,2330,115000
"2020-04-16",172,3435,250000
"2020-04-16",172,3435,250000
"2020-09-10",85,0,133000
"2020-07-01",50,0,165000
"2020-07-01",50,0,165000
"2020-02-05",98,0,198000
"2020-01-02",94,398,196400
"2020-04-30",58,0,177000
"2020-09-09",44,0,166000
"2020-07-24",44,0,150000
"2020-12-10",12,0,81090.06
"2020-01-06",70,2779,57500
"2020-01-06",70,2779,57500
"2020-06-12",134,248,350860
"2020-01-10",27,0,142500
"2020-02-27",89,396,270000
"2020-09-30",92,101,32990
"2020-01-20",277,1038,181920
"2020-09-22",146,435,240000
"2020-08-04",149,0,2e+05
"2020-01-30",75,1197,195000
"2020-12-22",42,0,125000
"2020-09-02",68,0,271752
"2020-09-09",133,484,52000
"2020-09-09",133,484,52000
"2020-02-21",138,571,312700
"2020-02-21",138,571,312700
"2020-12-22",57,500,270000
"2020-03-10",125,225,210000
"2020-12-22",26,0,115000
"2020-01-30",46,0,150000
"2020-01-30",46,0,150000
"2020-09-02",102,639,186600
"2020-09-25",66,603,180000
"2020-04-17",57,501,150000
"2020-04-17",57,501,150000
"2020-12-12",31,0,95000
"2020-06-26",90,255,245000
"2020-06-26",90,255,245000
"2020-10-29",172,2016,205000
"2020-04-09",67,0,197000
"2020-10-20",88,347,334920
"2020-03-26",158,832,285000
"2020-10-19",80,0,215000
"2020-11-30",77,0,67500
"2020-11-20",45,0,120000
"2020-12-01",74,495,165000
"2020-10-16",93,507,190000
"2020-06-16",114,6336,139000
"2020-06-16",114,6336,139000
"2020-06-16",114,6336,139000
"2020-06-16",114,6336,139000
"2020-06-16",114,6336,139000
"2020-09-22",58,3340,70000
"2020-10-09",63,0,180000
"2020-10-30",108,1126,210000
"2020-10-21",75,1081,230000
"2020-04-30",125,536,195572
"2020-05-19",85,0,241729
"2020-07-01",24,0,75000
"2020-12-12",67,53,56000
"2020-12-22",129,611,244000
"2020-03-02",98,370,402675
"2020-08-07",90,142,235000
"2020-08-07",90,142,235000
"2020-05-12",83,0,256500
"2020-02-04",151,530,197000
"2020-02-04",151,530,197000
"2020-01-27",72,0,295000
"2020-05-29",126,659,275000
"2020-05-29",126,659,275000
"2020-10-14",132,711,350000
"2020-08-21",82,445,160000
"2020-10-28",160,1424,640000
"2020-08-28",69,104,37000
"2020-02-14",137,388,435000
"2020-07-20",113,512,281300
"2020-01-06",120,1300,333000
"2020-01-24",77,121,2e+05
"2020-05-20",172,626,315700
"2020-09-28",20,0,122000
"2020-05-15",165,39536,208000
"2020-05-15",165,39536,208000
"2020-05-15",165,39536,208000
"2020-05-15",165,39536,208000
"2020-12-04",162,613,335000
"2020-11-30",65,274,140000
"2020-05-04",74,0,182000
"2020-08-06",82,129,395000
"2020-08-06",82,129,395000
"2020-08-06",82,129,395000
"2020-04-30",104,348,172281
"2020-02-19",161,761,344200
"2020-09-25",57,228,125000
"2020-09-25",57,228,125000
"2020-02-18",61,0,140000
"2020-11-05",111,0,455059
"2020-02-07",19,0,39000
"2020-01-17",31,1033,1e+05
"2020-11-13",53,0,190000
"2020-11-13",53,0,190000
"2020-10-02",170,1460,130000
"2020-10-02",170,1460,130000
"2020-06-02",20,0,108000
"2020-07-23",97,1002,140000
"2020-05-18",51,0,115000
"2020-09-25",66,0,198000
"2020-05-25",113,15230,260000
"2020-05-25",113,15230,260000
"2020-05-25",113,15230,260000
"2020-05-25",113,15230,260000
"2020-05-25",113,15230,260000
"2020-01-28",145,2442,249000
"2020-01-28",145,2442,249000
"2020-01-28",145,2442,249000
"2020-01-28",145,2442,249000
"2020-01-28",145,2442,249000
"2020-01-28",145,2442,249000
"2020-01-28",145,2442,249000
"2020-01-28",145,2442,249000
